Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_pipeline Clock Hold: 'sysclk'

Minimum Slack	From	To	From Clock	To Clock	Required Hold Relationship	Required Shortest P2P Time	Actual Shortest P2P Time
3.293 ns	Control:Control1|EXTOp	ID_EX:ID_EX1|LU32_out[31]	sysclk	sysclk	0.000 ns	-1.979 ns	1.314 ns
3.345 ns	Control:Control1|EXTOp	ID_EX:ID_EX1|EXT32_out[29]	sysclk	sysclk	0.000 ns	-1.979 ns	1.366 ns
3.550 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[9]	sysclk	sysclk	0.000 ns	-2.125 ns	1.425 ns
3.551 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[31]	sysclk	sysclk	0.000 ns	-2.125 ns	1.426 ns
3.682 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[0]	sysclk	sysclk	0.000 ns	-2.125 ns	1.557 ns
3.803 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[7]	sysclk	sysclk	0.000 ns	-2.111 ns	1.692 ns
3.813 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[29]	sysclk	sysclk	0.000 ns	-2.112 ns	1.701 ns
3.816 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[30]	sysclk	sysclk	0.000 ns	-2.112 ns	1.704 ns
3.817 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[27]	sysclk	sysclk	0.000 ns	-2.112 ns	1.705 ns
3.818 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[3]	sysclk	sysclk	0.000 ns	-2.109 ns	1.709 ns
3.821 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[5]	sysclk	sysclk	0.000 ns	-2.109 ns	1.712 ns
3.914 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[4]	sysclk	sysclk	0.000 ns	-2.112 ns	1.802 ns
3.927 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[24]	sysclk	sysclk	0.000 ns	-2.112 ns	1.815 ns
3.928 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[26]	sysclk	sysclk	0.000 ns	-2.112 ns	1.816 ns
3.930 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[22]	sysclk	sysclk	0.000 ns	-2.112 ns	1.818 ns
3.930 ns	Control:Control1|LUOp	ID_EX:ID_EX1|LU32_out[21]	sysclk	sysclk	0.000 ns	-2.112 ns	1.818 ns
