Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_pipeline Clock Setup: 'sysclk'

Slack	Actual fmax (period)	From	To	From Clock	To Clock	Required Setup Relationship	Required Longest P2P Time	Actual Longest P2P Time
7.534 ns	28.63 MHz ( period = 34.932 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[16]	sysclk	sysclk	25.000 ns	14.428 ns	6.894 ns
7.557 ns	28.66 MHz ( period = 34.886 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[16]	sysclk	sysclk	25.000 ns	14.427 ns	6.870 ns
7.889 ns	29.22 MHz ( period = 34.222 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[18]	sysclk	sysclk	25.000 ns	14.426 ns	6.537 ns
7.913 ns	29.26 MHz ( period = 34.174 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[12]	sysclk	sysclk	25.000 ns	14.424 ns	6.511 ns
7.936 ns	29.30 MHz ( period = 34.128 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[12]	sysclk	sysclk	25.000 ns	14.423 ns	6.487 ns
7.952 ns	29.33 MHz ( period = 34.096 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[18]	sysclk	sysclk	25.000 ns	14.425 ns	6.473 ns
8.007 ns	29.42 MHz ( period = 33.986 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[2]	sysclk	sysclk	25.000 ns	14.424 ns	6.417 ns
8.030 ns	29.46 MHz ( period = 33.940 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[2]	sysclk	sysclk	25.000 ns	14.423 ns	6.393 ns
8.166 ns	29.70 MHz ( period = 33.668 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[4]	sysclk	sysclk	25.000 ns	14.424 ns	6.258 ns
8.220 ns	29.80 MHz ( period = 33.560 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[21]	sysclk	sysclk	25.000 ns	14.442 ns	6.222 ns
8.243 ns	29.84 MHz ( period = 33.514 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[21]	sysclk	sysclk	25.000 ns	14.441 ns	6.198 ns
8.321 ns	29.98 MHz ( period = 33.358 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[10]	sysclk	sysclk	25.000 ns	14.451 ns	6.130 ns
8.336 ns	30.00 MHz ( period = 33.328 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[4]	sysclk	sysclk	25.000 ns	14.423 ns	6.087 ns
8.370 ns	30.07 MHz ( period = 33.260 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[26]	sysclk	sysclk	25.000 ns	14.454 ns	6.084 ns
8.384 ns	30.09 MHz ( period = 33.232 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[10]	sysclk	sysclk	25.000 ns	14.450 ns	6.066 ns
8.394 ns	30.11 MHz ( period = 33.212 ns )	Control:Control1|PCSrc[0]	PC:PC1|pc[14]	sysclk	sysclk	25.000 ns	14.425 ns	6.031 ns
8.417 ns	30.15 MHz ( period = 33.166 ns )	Control:Control1|PCSrc[1]	PC:PC1|pc[14]	sysclk	sysclk	25.000 ns	14.424 ns	6.007 ns
