Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_pipeline tco

Slack	Required tco	Actual tco	From	To	From Clock
N/A	None	10.354 ns	Peripheral:Ph1|digi[10]	digi_out2[1]	sysclk
N/A	None	10.079 ns	Peripheral:Ph1|digi[11]	digi_out2[1]	sysclk
N/A	None	9.882 ns	Peripheral:Ph1|digi[10]	digi_out2[2]	sysclk
N/A	None	9.843 ns	Peripheral:Ph1|digi[10]	digi_out2[3]	sysclk
N/A	None	9.841 ns	Peripheral:Ph1|digi[10]	digi_out2[5]	sysclk
N/A	None	9.832 ns	Peripheral:Ph1|digi[10]	digi_out2[0]	sysclk
N/A	None	9.820 ns	Peripheral:Ph1|digi[8]	digi_out3[0]	sysclk
N/A	None	9.797 ns	Peripheral:Ph1|digi[8]	digi_out3[5]	sysclk
N/A	None	9.788 ns	Peripheral:Ph1|digi[8]	digi_out3[1]	sysclk
N/A	None	9.784 ns	Peripheral:Ph1|digi[8]	digi_out3[2]	sysclk
N/A	None	9.759 ns	Peripheral:Ph1|digi[8]	digi_out4[0]	sysclk
N/A	None	9.699 ns	Peripheral:Ph1|digi[0]	digi_out2[0]	sysclk
N/A	None	9.692 ns	Peripheral:Ph1|digi[9]	digi_out3[0]	sysclk
N/A	None	9.684 ns	Peripheral:Ph1|digi[5]	digi_out2[5]	sysclk
N/A	None	9.669 ns	Peripheral:Ph1|digi[9]	digi_out3[5]	sysclk
N/A	None	9.660 ns	Peripheral:Ph1|digi[9]	digi_out3[1]	sysclk
N/A	None	9.656 ns	Peripheral:Ph1|digi[9]	digi_out3[2]	sysclk
N/A	None	9.631 ns	Peripheral:Ph1|digi[9]	digi_out4[0]	sysclk
N/A	None	9.618 ns	UART:UART1|UART_Sender:s1|UART_TX	UART_TX	sysclk
N/A	None	9.607 ns	Peripheral:Ph1|digi[11]	digi_out2[2]	sysclk
N/A	None	9.607 ns	Peripheral:Ph1|digi[1]	digi_out2[1]	sysclk
N/A	None	9.568 ns	Peripheral:Ph1|digi[11]	digi_out2[3]	sysclk
N/A	None	9.566 ns	Peripheral:Ph1|digi[11]	digi_out2[5]	sysclk
N/A	None	9.557 ns	Peripheral:Ph1|digi[11]	digi_out2[0]	sysclk
N/A	None	9.522 ns	Peripheral:Ph1|digi[8]	digi_out4[2]	sysclk
N/A	None	9.518 ns	Peripheral:Ph1|digi[8]	digi_out4[1]	sysclk
N/A	None	9.490 ns	Peripheral:Ph1|digi[8]	digi_out4[3]	sysclk
