Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_single Clock Hold: 'sysclk'

Minimum Slack	From	To	From Clock	To Clock	Required Hold Relationship	Required Shortest P2P Time	Actual Shortest P2P Time
-8.058 ns	Control:Control1|ALUFun[3]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	0.000 ns	9.344 ns	1.286 ns
-7.890 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[0]	sysclk	sysclk	0.000 ns	9.763 ns	1.873 ns
-7.807 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[15]	sysclk	sysclk	0.000 ns	9.620 ns	1.813 ns
-7.790 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[24]	sysclk	sysclk	0.000 ns	9.592 ns	1.802 ns
-7.775 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[12]	sysclk	sysclk	0.000 ns	9.755 ns	1.980 ns
-7.760 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[30]	sysclk	sysclk	0.000 ns	9.582 ns	1.822 ns
-7.747 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[5]	sysclk	sysclk	0.000 ns	9.602 ns	1.855 ns
-7.719 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[0]	sysclk	sysclk	0.000 ns	9.586 ns	1.867 ns
-7.697 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[25]	sysclk	sysclk	0.000 ns	9.586 ns	1.889 ns
-7.695 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[31]	sysclk	sysclk	0.000 ns	9.583 ns	1.888 ns
-7.578 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[20]	sysclk	sysclk	0.000 ns	9.593 ns	2.015 ns
-7.538 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[27]	sysclk	sysclk	0.000 ns	9.466 ns	1.928 ns
-7.514 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[18]	sysclk	sysclk	0.000 ns	9.467 ns	1.953 ns
-7.482 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[30]	sysclk	sysclk	0.000 ns	9.596 ns	2.114 ns
-7.464 ns	Control:Control1|ALUFun[1]	ALU:ALU1|CMP:cmp|S[0]	sysclk	sysclk	0.000 ns	9.342 ns	1.878 ns
-7.441 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[17]	sysclk	sysclk	0.000 ns	9.585 ns	2.144 ns
-7.398 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Shift:shift|S[19]	sysclk	sysclk	0.000 ns	9.593 ns	2.195 ns
-7.391 ns	Control:Control1|ALUFun[0]	ALU:ALU1|Logic:logic|S[1]	sysclk	sysclk	0.000 ns	9.583 ns	2.192 ns
