Copyright (C) 1991-2008 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

CPU_single Clock Setup: 'sysclk'

Slack	Actual fmax (period)	From	To	From Clock	To Clock	Required Setup Relationship	Required Longest P2P Time	Actual Longest P2P Time
22.088 ns	17.91 MHz ( period = 55.824 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[28][10]	sysclk	sysclk	50.000 ns	47.726 ns	25.638 ns
22.089 ns	17.91 MHz ( period = 55.822 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[14][10]	sysclk	sysclk	50.000 ns	47.726 ns	25.637 ns
22.504 ns	18.18 MHz ( period = 54.992 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[1][10]	sysclk	sysclk	50.000 ns	47.720 ns	25.216 ns
22.505 ns	18.19 MHz ( period = 54.990 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][10]	sysclk	sysclk	50.000 ns	47.720 ns	25.215 ns
22.508 ns	18.19 MHz ( period = 54.984 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[25][10]	sysclk	sysclk	50.000 ns	47.718 ns	25.210 ns
22.511 ns	18.19 MHz ( period = 54.978 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[27][10]	sysclk	sysclk	50.000 ns	47.718 ns	25.207 ns
22.586 ns	18.24 MHz ( period = 54.828 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[27][14]	sysclk	sysclk	50.000 ns	47.718 ns	25.132 ns
22.591 ns	18.24 MHz ( period = 54.818 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[27][14]	sysclk	sysclk	50.000 ns	49.273 ns	26.682 ns
22.695 ns	18.31 MHz ( period = 54.610 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[17][10]	sysclk	sysclk	50.000 ns	47.744 ns	25.049 ns
22.696 ns	18.31 MHz ( period = 54.608 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[19][10]	sysclk	sysclk	50.000 ns	47.744 ns	25.048 ns
22.704 ns	18.32 MHz ( period = 54.592 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[4][10]	sysclk	sysclk	50.000 ns	47.723 ns	25.019 ns
22.706 ns	18.32 MHz ( period = 54.588 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[6][10]	sysclk	sysclk	50.000 ns	47.737 ns	25.031 ns
22.707 ns	18.32 MHz ( period = 54.586 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[22][10]	sysclk	sysclk	50.000 ns	47.737 ns	25.030 ns
22.708 ns	18.32 MHz ( period = 54.584 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[8][10]	sysclk	sysclk	50.000 ns	47.723 ns	25.015 ns
22.720 ns	18.33 MHz ( period = 54.560 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[31][10]	sysclk	sysclk	50.000 ns	47.738 ns	25.018 ns
22.721 ns	18.33 MHz ( period = 54.558 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[29][10]	sysclk	sysclk	50.000 ns	47.738 ns	25.017 ns
22.821 ns	18.40 MHz ( period = 54.358 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[10][14]	sysclk	sysclk	50.000 ns	47.746 ns	24.925 ns
22.821 ns	18.40 MHz ( period = 54.358 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[18][14]	sysclk	sysclk	50.000 ns	47.746 ns	24.925 ns
22.826 ns	18.40 MHz ( period = 54.348 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[10][14]	sysclk	sysclk	50.000 ns	49.301 ns	26.475 ns
22.826 ns	18.40 MHz ( period = 54.348 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[18][14]	sysclk	sysclk	50.000 ns	49.301 ns	26.475 ns
22.827 ns	18.40 MHz ( period = 54.346 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][14]	sysclk	sysclk	50.000 ns	47.747 ns	24.920 ns
22.828 ns	18.40 MHz ( period = 54.344 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[5][14]	sysclk	sysclk	50.000 ns	47.737 ns	24.909 ns
22.828 ns	18.40 MHz ( period = 54.344 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[26][14]	sysclk	sysclk	50.000 ns	47.747 ns	24.919 ns
22.832 ns	18.40 MHz ( period = 54.336 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[2][14]	sysclk	sysclk	50.000 ns	49.302 ns	26.470 ns
22.833 ns	18.40 MHz ( period = 54.334 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[5][14]	sysclk	sysclk	50.000 ns	49.292 ns	26.459 ns
22.833 ns	18.40 MHz ( period = 54.334 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[26][14]	sysclk	sysclk	50.000 ns	49.302 ns	26.469 ns
23.012 ns	18.53 MHz ( period = 53.976 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[12][10]	sysclk	sysclk	50.000 ns	47.724 ns	24.712 ns
23.013 ns	18.53 MHz ( period = 53.974 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[20][10]	sysclk	sysclk	50.000 ns	47.724 ns	24.711 ns
23.032 ns	18.54 MHz ( period = 53.936 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[12][14]	sysclk	sysclk	50.000 ns	47.702 ns	24.670 ns
23.037 ns	18.54 MHz ( period = 53.926 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[12][14]	sysclk	sysclk	50.000 ns	49.257 ns	26.220 ns
23.052 ns	18.55 MHz ( period = 53.896 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[11][10]	sysclk	sysclk	50.000 ns	47.733 ns	24.681 ns
23.053 ns	18.55 MHz ( period = 53.894 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[15][10]	sysclk	sysclk	50.000 ns	47.733 ns	24.680 ns
23.057 ns	18.56 MHz ( period = 53.886 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[24][10]	sysclk	sysclk	50.000 ns	47.732 ns	24.675 ns
23.058 ns	18.56 MHz ( period = 53.884 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[16][10]	sysclk	sysclk	50.000 ns	47.732 ns	24.674 ns
23.066 ns	18.56 MHz ( period = 53.868 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[3][10]	sysclk	sysclk	50.000 ns	47.739 ns	24.673 ns
23.068 ns	18.57 MHz ( period = 53.864 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[7][10]	sysclk	sysclk	50.000 ns	47.739 ns	24.671 ns
23.086 ns	18.58 MHz ( period = 53.828 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[30][14]	sysclk	sysclk	50.000 ns	47.748 ns	24.662 ns
23.086 ns	18.58 MHz ( period = 53.828 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[14][14]	sysclk	sysclk	50.000 ns	47.748 ns	24.662 ns
23.090 ns	18.58 MHz ( period = 53.820 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][10]	sysclk	sysclk	50.000 ns	47.746 ns	24.656 ns
23.091 ns	18.58 MHz ( period = 53.818 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[30][14]	sysclk	sysclk	50.000 ns	49.303 ns	26.212 ns
23.091 ns	18.58 MHz ( period = 53.818 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[14][14]	sysclk	sysclk	50.000 ns	49.303 ns	26.212 ns
23.111 ns	18.59 MHz ( period = 53.778 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[6][14]	sysclk	sysclk	50.000 ns	47.732 ns	24.621 ns
23.111 ns	18.59 MHz ( period = 53.778 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[22][14]	sysclk	sysclk	50.000 ns	47.732 ns	24.621 ns
23.116 ns	18.60 MHz ( period = 53.768 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[6][14]	sysclk	sysclk	50.000 ns	49.287 ns	26.171 ns
23.116 ns	18.60 MHz ( period = 53.768 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[22][14]	sysclk	sysclk	50.000 ns	49.287 ns	26.171 ns
23.136 ns	18.61 MHz ( period = 53.728 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[28][10]	sysclk	sysclk	50.000 ns	49.281 ns	26.145 ns
23.137 ns	18.61 MHz ( period = 53.726 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[14][10]	sysclk	sysclk	50.000 ns	49.281 ns	26.144 ns
23.215 ns	18.67 MHz ( period = 53.570 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[18][25]	sysclk	sysclk	50.000 ns	47.721 ns	24.506 ns
23.217 ns	18.67 MHz ( period = 53.566 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[2][25]	sysclk	sysclk	50.000 ns	47.721 ns	24.504 ns
23.220 ns	18.67 MHz ( period = 53.560 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[18][25]	sysclk	sysclk	50.000 ns	49.276 ns	26.056 ns
23.222 ns	18.67 MHz ( period = 53.556 ns )	Control:Control1|ALUSrc2	RegFile:RegFile1|RF_DATA[2][25]	sysclk	sysclk	50.000 ns	49.276 ns	26.054 ns
23.269 ns	18.70 MHz ( period = 53.462 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[9][10]	sysclk	sysclk	50.000 ns	47.734 ns	24.465 ns
23.269 ns	18.70 MHz ( period = 53.462 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[13][10]	sysclk	sysclk	50.000 ns	47.734 ns	24.465 ns
23.295 ns	18.72 MHz ( period = 53.410 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[20][9]	sysclk	sysclk	50.000 ns	47.724 ns	24.429 ns
23.298 ns	18.73 MHz ( period = 53.404 ns )	Control:Control1|ALUSrc1	RegFile:RegFile1|RF_DATA[12][9]	sysclk	sysclk	50.000 ns	47.724 ns	24.426 ns
